book_id,isbn,authors,year,title,average_rating,ratings_count,cover,height,width
30,297859382,gillian flynn,2012,gone girl,4.03,512475,gone girl by gillian flynn.jpg,149,98
31,399155341,kathryn stockett,2009,the help,4.45,1531753,the help by kathryn stockett.jpg,149,98
32,142000671,john steinbeck,1937,of mice and men,3.84,1467496,of mice and men by john steinbeck.jpg,149,98
34,1612130291,el james,2011,fifty shades of grey fifty shades 1,3.67,1338493,fifty shades of grey fifty shades 1 by el james.jpg,149,98
35,61122416,paulo coelho alan r clarke,1988,the alchemist,3.82,1299566,the alchemist by paulo coelho alan r clarke.jpg,149,98
36,385732554,lois lowry,1993,the giver the giver 1,4.12,1296825,the giver the giver 1 by lois lowry.jpg,149,98
37,60764899,cs lewis,1950,the lion the witch and the wardrobe chronicles of narnia 1,4.19,1531800,the lion the witch and the wardrobe chronicles of narnia 1 by cs lewis.jpg,149,98
38,965818675,audrey niffenegger,2003,the time travelers wife,3.95,746287,the time travelers wife by audrey niffenegger.jpg,149,98
39,553588486,george rr martin,1996,a game of thrones a song of ice and fire 1,4.45,1319204,a game of thrones a song of ice and fire 1 by george rr martin.jpg,149,98
40,143038419,elizabeth gilbert,2006,eat pray love,3.51,1181647,eat pray love by elizabeth gilbert.jpg,149,98
41,786838655,rick riordan,2005,the lightning thief percy jackson and the olympians 1,4.23,1366265,the lightning thief percy jackson and the olympians 1 by rick riordan.jpg,149,98
43,142437204,charlotte bronte michael mason,1847,jane eyre,4.1,1198557,jane eyre by charlotte bronte michael mason.jpg,149,98
44,553816713,nicholas sparks,1996,the notebook the notebook 1,4.06,1053403,the notebook the notebook 1 by nicholas sparks.jpg,149,98
45,770430074,yann martel,2001,life of pi,3.88,1003228,life of pi by yann martel.jpg,149,98
46,1565125606,sara gruen,2006,water for elephants,4.07,1068146,water for elephants by sara gruen.jpg,149,98
47,375831002,markus zusak,2005,the book thief,4.36,1159741,the book thief by markus zusak.jpg,149,98
49,316160199,stephenie meyer,2006,new moon twilight 2,3.52,1149630,new moon twilight 2 by stephenie meyer.jpg,149,98
50,60513039,shel silverstein,1974,where the sidewalk ends,4.29,1016888,where the sidewalk ends by shel silverstein.jpg,149,98
51,1416914285,cassandra clare,2007,city of bones the mortal instruments 1,4.12,1154031,city of bones the mortal instruments 1 by cassandra clare.jpg,149,98
52,316160202,stephenie meyer,2007,eclipse twilight 3,3.69,1134511,eclipse twilight 3 by stephenie meyer.jpg,149,98
53,375826696,christopher paolini,2002,eragon the inheritance cycle 1,3.86,1104021,eragon the inheritance cycle 1 by christopher paolini.jpg,149,98
54,345391802,douglas adams,1979,the hitchhikers guide to the galaxy hitchhikers guide to the galaxy 1,4.2,936782,the hitchhikers guide to the galaxy hitchhikers guide to the galaxy 1 by douglas adams.jpg,149,98
55,60929871,aldous huxley,1932,brave new world,3.97,1022601,brave new world by aldous huxley.jpg,149,98
56,031606792X,stephenie meyer,2008,breaking dawn twilight 4,3.7,1070245,breaking dawn twilight 4 by stephenie meyer.jpg,149,98
57,142001740,sue monk kidd,2001,the secret life of bees,4.01,916189,the secret life of bees by sue monk kidd.jpg,149,98
58,142437174,mark twain john seelye guy cardwell,1884,the adventures of huckleberry finn,3.8,953758,the adventures of huckleberry finn by mark twain john seelye guy cardwell.jpg,149,98
59,64410935,eb white garth williams rosemary wells,1952,charlottes web,4.15,1064521,charlottes web by eb white garth williams rosemary wells.jpg,149,98
60,1400032717,mark haddon,2003,the curious incident of the dog in the nighttime,3.85,867553,the curious incident of the dog in the nighttime by mark haddon.jpg,149,98
61,1594633665,paula hawkins,2015,the girl on the train,3.88,1008778,the girl on the train by paula hawkins.jpg,149,98
62,679879242,philip pullman,1995,the golden compass his dark materials 1,3.94,953970,the golden compass his dark materials 1 by philip pullman.jpg,149,98
64,743454537,jodi picoult,2004,my sisters keeper,4.06,863879,my sisters keeper by jodi picoult.jpg,149,98
65,385333846,kurt vonnegut jr,1969,slaughterhousefive,4.06,846488,slaughterhousefive by kurt vonnegut jr.jpg,149,98
66,446675539,margaret mitchell,1936,gone with the wind,4.28,873981,gone with the wind by margaret mitchell.jpg,149,98
67,1594489505,khaled hosseini,2007,a thousand splendid suns,4.34,818742,a thousand splendid suns by khaled hosseini.jpg,149,98
68,671027344,stephen chbosky,1999,the perks of being a wallflower,4.21,888806,the perks of being a wallflower by stephen chbosky.jpg,149,98
69,7442912,veronica roth,2012,insurgent divergent 2,4.07,836362,insurgent divergent 2 by veronica roth.jpg,149,98
70,812550706,orson scott card,1985,enders game enders saga 1,4.3,813439,enders game enders saga 1 by orson scott card.jpg,149,98
71,141439475,mary wollstonecraft shelley percy bysshe shelley maurice hindle,1818,frankenstein,3.75,808589,frankenstein by mary wollstonecraft shelley percy bysshe shelley maurice hindle.jpg,149,98
72,450040186,stephen king,1977,the shining the shining 1,4.17,791850,the shining the shining 1 by stephen king.jpg,149,98
73,316068047,stephenie meyer,2008,the host the host 1,3.84,749780,the host the host 1 by stephenie meyer.jpg,149,98
74,142402516,john green,2005,looking for alaska,4.09,783470,looking for alaska by john green.jpg,149,98
75,014028009X,helen fielding,1996,bridget joness diary bridget jones 1,3.75,736498,bridget joness diary bridget jones 1 by helen fielding.jpg,149,98
76,141439661,jane austen tony tanner ros ballaster,1811,sense and sensibility,4.06,738894,sense and sensibility by jane austen tony tanner ros ballaster.jpg,149,98
77,439244196,louis sachar louis sachar,1998,holes holes 1,3.93,747445,holes holes 1 by louis sachar louis sachar.jpg,149,98
80,156012197,antoine de saintexupery richard howard dom marcos barbosa melina karakosta,1946,the little prince,4.28,738757,the little prince by antoine de saintexupery richard howard dom marcos barbosa melina karakosta.jpg,149,98
81,074324754X,jeannette walls,2005,the glass castle,4.24,621099,the glass castle by jeannette walls.jpg,149,98
82,385486804,jon krakauer,1996,into the wild,3.94,647684,into the wild by jon krakauer.jpg,149,98
83,141439602,charles dickens richard maxwell hablot knight browne,1859,a tale of two cities,3.81,637412,a tale of two cities by charles dickens richard maxwell hablot knight browne.jpg,149,98
85,60256656,shel silverstein,1964,the giving tree,4.38,702332,the giving tree by shel silverstein.jpg,149,98
87,374500010,elie wiesel marion wiesel,1958,night the night trilogy 1,4.3,691231,night the night trilogy 1 by elie wiesel marion wiesel.jpg,149,98
88,014241493X,john green,2008,paper towns,3.88,461311,paper towns by john green.jpg,149,98
89,345418263,william goldman,1973,the princess bride,4.25,628637,the princess bride by william goldman.jpg,149,98
90,014038572X,se hinton,1967,the outsiders,4.06,659248,the outsiders by se hinton.jpg,149,98
91,385737947,james dashner,2009,the maze runner maze runner 1,4.02,719925,the maze runner maze runner 1 by james dashner.jpg,149,98
92,61234001,steven d levitt stephen j dubner,2005,freakonomics a rogue economist explores the hidden side of everything freakonomics 1,3.93,524191,freakonomics a rogue economist explores the hidden side of everything freakonomics 1 by steven d levitt stephen j dubner.jpg,149,98
93,517189607,frances hodgson burnett,1911,the secret garden,4.12,639357,the secret garden by frances hodgson burnett.jpg,149,98
94,60531045,gabriel garcia marquez gregory rabassa,1967,one hundred years of solitude,4.04,490565,one hundred years of solitude by gabriel garcia marquez gregory rabassa.jpg,149,98
95,375751513,oscar wilde jeffrey eugenides,1891,the picture of dorian gray,4.06,590014,the picture of dorian gray by oscar wilde jeffrey eugenides.jpg,149,98
96,345803507,el james,2012,fifty shades freed fifty shades 3,3.88,387290,fifty shades freed fifty shades 3 by el james.jpg,149,98
97,393970124,bram stoker nina auerbach david j skal,1897,dracula,3.98,618973,dracula by bram stoker nina auerbach david j skal.jpg,149,98
98,307269981,stieg larsson reg keeland,2006,the girl who played with fire millennium 2,4.22,563994,the girl who played with fire millennium 2 by stieg larsson reg keeland.jpg,149,98
99,1612130585,el james,2011,fifty shades darker fifty shades 2,3.87,552059,fifty shades darker fifty shades 2 by el james.jpg,149,98
100,60786507,barbara kingsolver,1998,the poisonwood bible,4.02,546502,the poisonwood bible by barbara kingsolver.jpg,149,98
102,99408392,maurice sendak,1963,where the wild things are,4.22,620618,where the wild things are by maurice sendak.jpg,149,98
