book_id,isbn,authors,year,title,average_rating,ratings_count,image_url
182,316042676,kami garcia margaret stohl,2009,beautiful creatures caster chronicles 1,3.76,436093,https://images.gr-assets.com/books/1327873282m/6304335.jpg
183,1416975861,cassandra clare,2010,clockwork angel the infernal devices 1,4.33,490890,https://images.gr-assets.com/books/1454962884m/7171637.jpg
184,141301066,roald dahl quentin blake,1988,matilda,4.29,440743,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
185,385534639,erin morgenstern,2011,the night circus,4.03,429543,https://images.gr-assets.com/books/1387124618m/9361589.jpg
186,743227441,philippa gregory,2001,the other boleyn girl the plantagenet and tudor novels 9,4.04,381080,https://images.gr-assets.com/books/1355932638m/37470.jpg
187,689865384,scott westerfeld,2005,uglies uglies 1,3.86,449073,https://images.gr-assets.com/books/1443904172m/24770.jpg
189,618640150,jrr tolkien,1955,the lord of the rings the lord of the rings 13,4.47,389054,https://images.gr-assets.com/books/1411114164m/33.jpg
190,307592731,cheryl strayed,2012,wild from lost to found on the pacific crest trail,3.96,379872,https://images.gr-assets.com/books/1453189881m/12262741.jpg
191,930289234,alan moore dave gibbons john higgins,1987,watchmen,4.35,398018,https://images.gr-assets.com/books/1442239711m/472331.jpg
192,075640407X,patrick rothfuss,2007,the name of the wind the kingkiller chronicle 1,4.55,400101,https://images.gr-assets.com/books/1472068073m/186074.jpg
193,316017922,malcolm gladwell,2008,outliers the story of success,4.11,353011,https://images.gr-assets.com/books/1344266315m/3228917.jpg
194,142437247,herman melville andrew delbanco tom quirk,1851,mobydick or the whale,3.46,358050,https://images.gr-assets.com/books/1327940656m/153747.jpg
195,385340990,mary ann shaffer annie barrows,2008,the guernsey literary and potato peel pie society,4.12,393626,https://images.gr-assets.com/books/1351979318m/2728527.jpg
196,393327345,chuck palahniuk,1996,fight club,4.2,365349,https://images.gr-assets.com/books/1357128997m/5759.jpg
197,441008534,charlaine harris,2001,dead until dark sookie stackhouse 1,3.96,420764,https://images.gr-assets.com/books/1468560853m/301082.jpg
198,671727796,alice walker,1982,the color purple,4.17,376766,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
199,739461192,john grogan,2005,marley and me life and love with the worlds worst dog,4.12,367304,https://images.gr-assets.com/books/1308858322m/12691.jpg
200,312330871,agatha christie,1939,and then there were none,4.23,408983,https://images.gr-assets.com/books/1391120695m/16299.jpg
201,385504225,dan brown,2009,the lost symbol robert langdon 3,3.66,369428,https://images.gr-assets.com/books/1358274396m/6411961.jpg
202,1416989412,becca fitzpatrick,2009,hush hush hush hush 1,4.0,448166,https://images.gr-assets.com/books/1358261334m/6339664.jpg
204,1561797464,charles dickens,1843,a christmas carol,4.02,394540,https://images.gr-assets.com/books/1406512317m/5326.jpg
205,345476875,anne rice,1976,interview with the vampire the vampire chronicles 1,3.97,372566,https://images.gr-assets.com/books/1380631642m/43763.jpg
206,62059939,kiera cass,2012,the selection the selection 1,4.15,505340,https://images.gr-assets.com/books/1322103400m/10507293.jpg
207,312362080,janet evanovich,1994,one for the money stephanie plum 1,4.03,391007,https://images.gr-assets.com/books/1316730230m/6853.jpg
208,1400052173,rebecca skloot,2010,the immortal life of henrietta lacks,4.04,377249,https://images.gr-assets.com/books/1327878144m/6493208.jpg
209,99446782,thomas harris,1988,the silence of the lambs  hannibal lecter 2,4.14,351107,https://images.gr-assets.com/books/1390426249m/23807.jpg
210,159514174X,richelle mead,2007,vampire academy vampire academy 1,4.14,248283,https://images.gr-assets.com/books/1361098973m/345627.jpg
211,316010669,malcolm gladwell,2005,blink the power of thinking without thinking,3.89,348196,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
212,038572179X,ian mcewan,2001,atonement,3.88,347006,https://images.gr-assets.com/books/1320449708m/6867.jpg
213,553213695,franz kafka stanley corngold,1915,the metamorphosis,3.78,364933,https://images.gr-assets.com/books/1359061917m/485894.jpg
214,141382899,rick riordan,2007,the titans curse percy jackson and the olympians 3,4.33,446668,https://images.gr-assets.com/books/1361038385m/561456.jpg
215,030788743X,ernest cline,2011,ready player one,4.31,349423,https://images.gr-assets.com/books/1500930947m/9969571.jpg
216,1554681723,garth stein,2006,the art of racing in the rain,4.19,327409,https://images.gr-assets.com/books/1377206302m/3153910.jpg
217,739303406,erik larson tony goldwyn,2003,the devil in the white city murder magic and madness at the fair that changed america,3.98,309385,https://images.gr-assets.com/books/1312066724m/21996.jpg
218,425263908,sylvia day,2012,bared to you crossfire 1,4.19,222678,https://images.gr-assets.com/books/1477803272m/13572249.jpg
219,66238501,cs lewis pauline baynes,1956,the chronicles of narnia chronicles of narnia 17,4.24,376385,https://images.gr-assets.com/books/1449868701m/11127.jpg
220,316043133,mark cotta vaz,0,twilight the complete illustrated movie companion,4.23,291411,https://images.gr-assets.com/books/1352539022m/3609760.jpg
221,1558743669,dave pelzer,1995,a child called it dave pelzer 1,4.08,311543,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
